Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
231,14850.0,48190.0,45850.0,54730.0,38390.0,137500.0,28680.0,38660.0,18500.0,18700.0,2024.0
232,14850.0,43350.0,44970.0,51360.0,40160.0,137500.0,27950.0,37510.0,18620.0,18600.0,2024.0
233,14850.0,42330.0,42810.0,58400.0,42370.0,137500.0,28050.0,39820.0,18650.0,18210.0,2024.0
234,14850.0,41440.0,42710.0,59140.0,41830.0,137500.0,28690.0,40490.0,18650.0,18170.0,2024.0
235,14850.0,36160.0,42250.0,38060.0,41540.0,137500.0,28000.0,38770.0,18650.0,18050.0,2024.0
236,14950.0,33160.0,41810.0,42200.0,49430.0,137500.0,28000.0,39220.0,18650.0,17300.0,2024.0
237,15350.0,30950.0,41150.0,45100.0,52670.0,137500.0,28560.0,39000.0,18650.0,17160.0,2024.0
238,15350.0,28850.0,41090.0,41630.0,73710.0,137500.0,28150.0,38300.0,18650.0,16950.0,2024.0
239,15350.0,27500.0,40850.0,45600.0,85170.0,137500.0,28000.0,36720.0,18650.0,16950.0,2024.0
240,15350.0,26840.0,40850.0,43560.0,85440.0,137500.0,27490.0,36820.0,18650.0,16950.0,2024.0
241,15270.0,26000.0,40850.0,46080.0,78250.0,137500.0,27660.0,37980.0,18650.0,16970.0,2024.0
242,15000.0,25420.0,40930.0,42160.0,66910.0,137900.0,26790.0,37170.0,18650.0,17350.0,2024.0
243,15000.0,24340.0,41250.0,40470.0,59530.0,137900.0,26190.0,36650.0,18650.0,17350.0,2024.0
244,14600.0,25340.0,41280.0,37030.0,52500.0,137900.0,26100.0,36240.0,18650.0,17350.0,2024.0
245,14500.0,25650.0,41350.0,33460.0,49230.0,137900.0,25530.0,36150.0,18850.0,17350.0,2024.0
246,14500.0,27110.0,41190.0,31750.0,44880.0,137900.0,26590.0,36770.0,19110.0,17470.0,2024.0
247,14500.0,27100.0,41150.0,30650.0,47870.0,137900.0,26140.0,38300.0,19200.0,17500.0,2024.0
248,14500.0,26860.0,41150.0,28020.0,50610.0,137900.0,26260.0,37030.0,19200.0,17500.0,2024.0
249,14500.0,28890.0,41150.0,26300.0,51900.0,137900.0,26650.0,36560.0,19270.0,17500.0,2024.0
250,14500.0,29450.0,41150.0,25690.0,55300.0,137900.0,26130.0,37460.0,19550.0,17490.0,2024.0
251,14500.0,29650.0,41150.0,27540.0,53650.0,137900.0,26210.0,38030.0,19550.0,17310.0,2024.0
252,14500.0,30670.0,41150.0,30240.0,49890.0,137900.0,26650.0,38310.0,19430.0,17100.0,2024.0
253,14500.0,34990.0,41720.0,30100.0,45550.0,137700.0,26340.0,37330.0,19540.0,17030.0,2024.0
254,14500.0,39160.0,41650.0,29320.0,43200.0,137900.0,26350.0,38180.0,19750.0,17500.0,2024.0
255,14500.0,41180.0,42350.0,28230.0,46080.0,135740.0,26350.0,38870.0,19850.0,17500.0,2024.0
256,14560.0,42960.0,42350.0,26870.0,42000.0,132500.0,26350.0,38100.0,20000.0,17500.0,2024.0
257,14650.0,43000.0,42350.0,26610.0,38270.0,132500.0,26350.0,37550.0,20000.0,17500.0,2024.0
258,14650.0,42560.0,42640.0,29960.0,37530.0,132500.0,26650.0,37990.0,20000.0,17500.0,2024.0
259,14650.0,43200.0,43000.0,40150.0,43340.0,132500.0,29670.0,37410.0,18840.0,17560.0,2024.0
260,14650.0,42970.0,43000.0,47230.0,54320.0,132500.0,31740.0,38130.0,17900.0,17650.0,2024.0
261,14650.0,42850.0,43000.0,62160.0,69400.0,132500.0,32000.0,38600.0,17900.0,17650.0,2024.0
262,14650.0,42850.0,43000.0,68750.0,81800.0,132500.0,31575.0,39325.0,17900.0,17650.0,2024.0
