,Tanggal,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun,Minggu ke
42,2020-02-28,12400.0,29650.0,45250.0,51750.0,42150.0,121250.0,26000.0,36350.0,13900.0,14650.0,2020,9
43,2020-03-02,12400.0,29650.0,45600.0,48650.0,40000.0,121250.0,26100.0,36250.0,13900.0,14800.0,2020,10
44,2020-03-03,12400.0,29850.0,45350.0,48100.0,39250.0,121250.0,25850.0,36400.0,13600.0,15250.0,2020,10
45,2020-03-04,12400.0,29250.0,45150.0,48100.0,39750.0,121250.0,25650.0,36350.0,13600.0,15250.0,2020,10
46,2020-03-05,12400.0,33250.0,43850.0,49400.0,42250.0,121250.0,26000.0,36150.0,13600.0,15600.0,2020,10
47,2020-03-06,12400.0,32500.0,47900.0,48500.0,42900.0,121250.0,26150.0,36650.0,13600.0,16650.0,2020,10
48,2020-03-09,12400.0,33100.0,42650.0,45600.0,41850.0,121250.0,26150.0,36100.0,13600.0,16800.0,2020,11
49,2020-03-10,12400.0,35150.0,42250.0,44400.0,42600.0,121250.0,26250.0,35900.0,13600.0,17000.0,2020,11
50,2020-03-11,12400.0,35750.0,43100.0,42350.0,44850.0,121250.0,26250.0,36350.0,13500.0,17000.0,2020,11
51,2020-03-12,12400.0,35100.0,42750.0,40150.0,44500.0,121250.0,26250.0,36650.0,13400.0,17700.0,2020,11
52,2020-03-13,12400.0,34350.0,42350.0,38650.0,44750.0,121250.0,26150.0,36500.0,13400.0,17700.0,2020,11
53,2020-03-16,12400.0,36250.0,40600.0,37900.0,53750.0,121250.0,26350.0,36500.0,13400.0,17250.0,2020,12
54,2020-03-17,12400.0,36350.0,41650.0,38100.0,52650.0,121250.0,26350.0,36250.0,13400.0,17150.0,2020,12
55,2020-03-18,12400.0,37850.0,43900.0,37650.0,58150.0,121250.0,26500.0,36100.0,13400.0,17400.0,2020,12
56,2020-03-19,12400.0,37850.0,43400.0,36650.0,58000.0,121250.0,26600.0,36250.0,13400.0,17400.0,2020,12
57,2020-03-20,12400.0,36750.0,43850.0,35650.0,57250.0,121250.0,26400.0,36150.0,13400.0,17700.0,2020,12
58,2020-03-23,12400.0,41850.0,49100.0,34750.0,58400.0,121250.0,26500.0,35600.0,13400.0,17900.0,2020,13
59,2020-03-24,12400.0,42150.0,47400.0,35500.0,67500.0,121250.0,26500.0,35350.0,13400.0,18050.0,2020,13
60,2020-03-25,,,,,,,,,,,2020,13
61,2020-03-26,12400.0,42000.0,43100.0,33400.0,64500.0,121250.0,26600.0,34900.0,13400.0,18400.0,2020,13
62,2020-03-27,12400.0,43000.0,45350.0,33850.0,61350.0,121250.0,26350.0,34500.0,13400.0,18400.0,2020,13
63,2020-03-30,12400.0,46000.0,45500.0,30150.0,57350.0,121250.0,25850.0,34600.0,13400.0,18500.0,2020,14
64,2020-03-31,12400.0,45850.0,46900.0,29350.0,61350.0,121250.0,25750.0,34750.0,13400.0,18500.0,2020,14
65,2020-04-01,12400.0,46400.0,45750.0,28600.0,59850.0,121250.0,25750.0,34650.0,13400.0,18500.0,2020,14
66,2020-04-02,12400.0,45600.0,45500.0,28750.0,58150.0,121250.0,25750.0,34900.0,13400.0,18500.0,2020,14
67,2020-04-03,12400.0,46000.0,45250.0,30500.0,57750.0,121250.0,25850.0,34850.0,13400.0,18500.0,2020,14
68,2020-04-06,12400.0,48750.0,44750.0,30900.0,62100.0,121250.0,25900.0,34250.0,13400.0,18500.0,2020,15
69,2020-04-07,12400.0,47900.0,45650.0,28600.0,60750.0,121250.0,25850.0,34600.0,13400.0,18500.0,2020,15
70,2020-04-08,12400.0,47650.0,44500.0,28250.0,57650.0,121250.0,25750.0,33750.0,13400.0,18500.0,2020,15
71,2020-04-09,12400.0,49250.0,44600.0,28750.0,52900.0,121250.0,25500.0,33850.0,13400.0,18500.0,2020,15
72,2020-04-10,,,,,,,,,,,2020,15
73,2020-04-13,12400.0,50750.0,41500.0,25400.0,48650.0,121250.0,25350.0,34000.0,13400.0,18400.0,2020,16
74,2020-04-14,12400.0,50650.0,41250.0,25400.0,46250.0,121250.0,25100.0,34000.0,13400.0,18400.0,2020,16
75,2020-04-15,12400.0,50250.0,40900.0,24900.0,44750.0,121250.0,25000.0,33600.0,13400.0,18550.0,2020,16
76,2020-04-16,12400.0,49000.0,41000.0,24250.0,44350.0,121250.0,24900.0,33150.0,13400.0,18550.0,2020,16
77,2020-04-17,12400.0,50100.0,41500.0,25750.0,42100.0,121250.0,24900.0,33500.0,13400.0,18550.0,2020,16
78,2020-04-20,12400.0,48500.0,40150.0,23350.0,38500.0,121250.0,24900.0,33400.0,13400.0,18900.0,2020,17
79,2020-04-21,12400.0,48650.0,38250.0,24350.0,36150.0,121250.0,25150.0,33750.0,13400.0,18900.0,2020,17
80,2020-04-22,12400.0,46500.0,39650.0,26150.0,37350.0,121250.0,24400.0,33500.0,13400.0,18900.0,2020,17
81,2020-04-23,12400.0,47750.0,40400.0,27250.0,36500.0,124600.0,24600.0,34250.0,13400.0,18900.0,2020,17
82,2020-04-24,12400.0,47150.0,37250.0,25150.0,34650.0,121650.0,24350.0,33850.0,13400.0,18900.0,2020,17
83,2020-04-27,12400.0,49650.0,38850.0,25000.0,35850.0,121650.0,23350.0,33350.0,13400.0,18900.0,2020,18
84,2020-04-28,12400.0,49850.0,38600.0,25350.0,35650.0,121650.0,23350.0,33350.0,13400.0,18900.0,2020,18
85,2020-04-29,12100.0,50250.0,37750.0,23650.0,34750.0,121650.0,23250.0,33400.0,13400.0,18900.0,2020,18
86,2020-04-30,12100.0,48100.0,36850.0,21850.0,28500.0,121650.0,23000.0,32650.0,13400.0,18900.0,2020,18
87,2020-05-01,,,,,,,,,,,2020,18
88,2020-05-04,12100.0,52650.0,36500.0,22600.0,29500.0,121650.0,21500.0,32100.0,13400.0,17700.0,2020,19
89,2020-05-05,12100.0,52150.0,36350.0,21600.0,29850.0,121650.0,21850.0,31750.0,13300.0,17600.0,2020,19
90,2020-05-06,12100.0,51650.0,33350.0,22250.0,30350.0,121650.0,21750.0,32750.0,13300.0,17600.0,2020,19
91,2020-05-07,,,,,,,,,,,2020,19
92,2020-05-08,12100.0,51600.0,35250.0,23400.0,30650.0,121650.0,21350.0,33250.0,13300.0,17850.0,2020,19
93,2020-05-11,12100.0,51650.0,35600.0,22250.0,30500.0,121650.0,21000.0,34350.0,13300.0,17850.0,2020,20
94,2020-05-12,12100.0,52650.0,36100.0,21750.0,26250.0,121650.0,20650.0,34250.0,13800.0,17850.0,2020,20
95,2020-05-13,12100.0,52650.0,35100.0,21350.0,27250.0,121650.0,20400.0,34900.0,13800.0,17500.0,2020,20
96,2020-05-14,12100.0,51850.0,35250.0,22000.0,27650.0,121650.0,20500.0,34400.0,13800.0,17500.0,2020,20
97,2020-05-15,12100.0,53350.0,34250.0,21650.0,27400.0,121650.0,20500.0,35000.0,13800.0,17600.0,2020,20
