,Minggu ke,Beras,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Daging Sapi,Telur Ayam,Daging Ayam,Minyak Goreng,Gula Pasir,Tahun
82,83,-0.8073721376758047,-0.028129607047350045,-0.3155408094876657,-0.24157683236523392,0.6695778306902349,2.7408603868786496,-0.42182762700612086,-0.1690688390444248,-0.6675976927200281,-0.7593246722222565,2021.0
83,84,-0.7612711980628206,-0.016684908092633382,-0.2455828465164828,-0.3465235716320584,0.2567457031763229,2.856266259388029,-0.35780518208615214,-0.0588425050526679,-0.61520403113087,-0.7110977199906668,2021.0
84,85,-0.7252343686109375,-0.05354878425938422,-0.21058552475598005,-0.2924530198015987,0.0059912121374293675,2.9022399118649305,-0.359435515748014,-0.014847786601455389,-0.5763843776189035,-0.6757417466060862,2021.0
85,86,-0.6738869614766106,-0.10316595411558446,-0.16674368291486977,-0.34306098894544584,-0.16933114862181742,2.9293438544270702,-0.3297540224525722,0.010682536990112472,-0.5260317782224587,-0.6280518546678235,2021.0
86,87,-0.6357198854333188,-0.1299735734000709,-0.18134072639242052,-0.3533473072696598,-0.27614981448687154,2.940901595776853,-0.3269299143021657,0.04173948088864066,-0.4889565911694628,-0.5902232642115235,2021.0
87,88,-0.6341462247751152,-0.1653848666599919,-0.17798282815933586,-0.3546472649989729,-0.2652896311082776,2.938108299910946,-0.3520104823595753,0.0830586531410234,-0.48531449357356354,-0.586391161417137,2021.0
88,89,-0.6346026550853457,-0.1263691871511047,-0.16449402894651807,-0.33165679681871507,-0.2864935226918408,2.9332960009377222,-0.39588249184329605,0.0897693390275079,-0.4865023081108555,-0.5970643493175541,2021.0
89,90,-0.6363664334703582,-0.1538122957531853,-0.16379820000296247,-0.295670876713255,-0.2477972769275586,2.9365313664866766,-0.4184387583722801,0.06264686401404321,-0.4836408390620016,-0.5996535501991186,2021.0
90,91,-0.6365616206574977,-0.1974421933397794,-0.1683633817648937,-0.2679362820061689,-0.21829669457025297,2.9366074986201225,-0.43124758741663805,0.06691063915918141,-0.48382442854698693,-0.5998459494770864,2021.0
91,92,-0.6384759888387112,-0.2099626921700474,-0.18614005865586636,-0.19231629697435773,-0.23643228496358187,2.939330637087366,-0.4264251399038405,0.037675053742797414,-0.4855405638094008,-0.6017126655143578,2021.0
92,93,-0.6770126737425672,-0.20262172154166824,-0.22539485328697326,-0.0532654678873952,-0.16151178241702677,2.9208463870578916,-0.4537176806554857,0.015941192221713498,-0.5232200957223256,-0.6400433040261629,2021.0
93,94,-0.697200360249761,-0.17155339960611923,-0.23078122615751548,0.004945523517041587,-0.16178080822513885,2.9053321897389157,-0.48871841078884615,0.03663241072203858,-0.5366929502954771,-0.6601829686551383,2021.0
94,95,-0.7016875389619525,-0.16298166665842734,-0.23036618126958994,0.023251359986708853,-0.17631047174634962,2.9015327698063684,-0.49509106009915727,0.04361481220436788,-0.5372989428775778,-0.6646630803843906,2021.0
95,96,-0.6778334692146358,-0.23995960292317572,-0.21870072337294974,0.04113002668536776,-0.2491127316184119,2.914031388125628,-0.4628825759845731,0.03758688009366343,-0.5033334995731975,-0.6409256922177157,2021.0
96,97,-0.7059001112825936,-0.28474892727944184,-0.24463929070771312,0.2773758323214035,-0.27088750875832973,2.8818478952988773,-0.4428280831797845,-0.03052461312627885,-0.5106605567937376,-0.6690346364924017,2021.0
97,98,-0.7331089753147358,-0.32009398640692466,-0.2729259648328705,0.4015767436761031,-0.2838335698218705,2.853134664987565,-0.3746320113519247,-0.04858306222127572,-0.52527488025406,-0.6962589584600061,2021.0
98,99,-0.7318809521864571,-0.3480190336726292,-0.27142408999382994,0.346658660155554,-0.25752462144980076,2.86571553373089,-0.3500891672855697,-0.045483792810036006,-0.5130382559613164,-0.694914280526805,2021.0
99,100,-0.7233687004487561,-0.41495568862951904,-0.2951320687265427,0.3264160680115562,-0.16468369434941083,2.866912915609636,-0.38249116106959935,-0.030103471010107356,-0.49611700752931825,-0.6864771918579383,2021.0
100,101,-0.7614710964630065,-0.426690458685848,-0.3376122625548331,0.29124440682041086,0.1756197283986962,2.826728426496582,-0.4671001039505799,-0.05474474570170979,-0.5213729121893439,-0.724600982170368,2021.0
101,102,-0.8000634856047038,-0.45173417588187287,-0.3961742116037684,0.2031825014895653,0.6856617767750731,2.70194151669136,-0.5265817961528944,-0.08814746664225687,-0.5640056062884051,-0.7640790527820972,2021.0
102,103,-0.8434002574382115,-0.41279390190689225,-0.4521921638176186,0.14183374287861494,1.0921087220633885,2.5318099970969037,-0.4857639222063362,-0.14699436028382276,-0.6158891675312,-0.8087186888548256,2021.0
103,104,-0.8430201227281489,-0.433954682074858,-0.45732985011218885,-0.023295479964476368,1.3914334401130737,2.388331231523334,-0.42014208278007154,-0.16699963801215842,-0.6252060569257472,-0.8098167590387584,2021.0
104,105,-0.8558379639568828,-0.45670922809911,-0.4767685331228898,-0.05089405723341059,1.5623369737174972,2.2656985024359306,-0.3520408031673358,-0.16096306428697166,-0.6441865788982829,-0.8306352473885441,2021.0
105,106,-0.8358796681419416,-0.41600892163596287,-0.4316205540892184,-0.1040501608595051,1.2369069003885522,2.4877547146695727,-0.4154611450586556,-0.10048961310700821,-0.6112912714459843,-0.809860280719849,2022.0
106,107,-0.7665925837066638,-0.34888850503585594,-0.3336352662079894,-0.3048887776477793,0.559559199769967,2.792985361988739,-0.38790159665328394,0.05121568267972125,-0.5231274254926396,-0.7387260896942153,2022.0
107,108,-0.7683558932618582,-0.3330116327988899,-0.31133350796001086,-0.12365439976587993,0.3363375916782796,2.8352611604339946,-0.46070469691831445,0.08303018773904906,-0.5174241742364775,-0.7401446349098922,2022.0
108,109,-0.7415676522215859,-0.2593663206754204,-0.27431366511268535,-0.08567817831440237,0.06230053161452007,2.88764757714633,-0.47550492123827076,0.0730626196093508,-0.4874627967880827,-0.6991171940197536,2022.0
109,110,-0.7337201717974472,-0.13215053941706115,-0.21792852560330547,-0.14114037203046667,-0.028392888004005766,2.9041654257606533,-0.4898709621588224,0.005318984296264932,-0.47900824775095746,-0.687272703294852,2022.0
110,111,-0.7865108301288618,0.004850569304129572,-0.2873812603767632,-0.060422523800823934,0.1740216592321054,2.8484219693855217,-0.5481742149382977,-0.0571289273597483,-0.5475753792217384,-0.7401010620955233,2022.0
111,112,-0.79555453799902,0.0024144747865382974,-0.29775541534235866,0.003904891321438481,0.25608336902654955,2.8231768087386255,-0.5552993925731103,-0.0828373510097522,-0.6047812215317965,-0.7493516254171143,2022.0
112,113,-0.831390579626535,-0.04622444250852637,-0.3567487944815132,0.12143509353772508,0.47033222664805824,2.753217529080644,-0.5373960410665588,-0.12237965430418284,-0.6663876207359459,-0.7844577165431652,2022.0
113,114,-0.8398064766463735,-0.09308731493203898,-0.3810288367001126,0.09795522582636401,0.7114956932620041,2.6825403685866807,-0.5523241917551229,-0.14452184513622432,-0.6855028860338173,-0.7957197364713574,2022.0
114,115,-0.8565841530221496,-0.15166046130474936,-0.40483536715469814,0.20691343968444847,0.7608014579548836,2.646302553989749,-0.5086044809258145,-0.16714433430201017,-0.7120680050477154,-0.8131206498719439,2022.0
115,116,-0.8620674763510127,-0.17800929673947885,-0.33531983804413457,0.20113480281148813,0.579707902212529,2.71439196271146,-0.5051923826471657,-0.145462288193688,-0.6550799220027814,-0.8141034637572157,2022.0
116,117,-0.8582781997008361,-0.25803356477853284,-0.2944207097117703,0.1723088894712521,0.38289590936046114,2.787599117428667,-0.49010905608500804,-0.13368694351061894,-0.4972718798907635,-0.8110035625828503,2022.0
117,118,-0.8377580022364788,-0.2807511765887709,-0.2903452902195139,0.12384630109627678,0.3138097509849882,2.8175992910766046,-0.4622169829759671,-0.10887948383231771,-0.4899028537389683,-0.7854015535658527,2022.0
118,119,-0.8585195984153848,-0.22340792201258866,-0.2957868951389621,0.1727426408241272,0.25672435010053,2.8096025587296034,-0.4839169741430092,-0.0720198408169678,-0.5035311233490112,-0.8018871957783369,2022.0
119,120,-0.7892743699564976,-0.1759809464400413,-0.2668910320240086,-0.10639976555077403,0.08311279747426548,2.8876889377396564,-0.4434663905620989,-0.02702826775246412,-0.4298298777245038,-0.7319310852035336,2022.0
120,121,-0.7526377823030235,-0.08597922383863367,-0.21853284300808506,-0.17601564440656292,-0.19963631029629744,2.918569477335598,-0.4147233149863507,0.003501416355419471,-0.395548892087625,-0.6789968827644393,2022.0
121,122,-0.8258812001178142,0.004367990961437274,-0.3106568117119176,0.07915329075574211,-0.0790209273932743,2.8627548034534955,-0.4529474263647985,-0.036333742997410046,-0.48570735857557806,-0.7557286180098822,2022.0
122,123,-0.8110722005849049,0.036728508001723184,-0.30635770144336305,-0.04386717482050613,-0.11384224222496044,2.880566333823287,-0.41195888385680945,-0.024810564244941484,-0.4655661040826042,-0.7398199705669207,2022.0
123,124,-0.7940934961998429,0.06997006847029132,-0.30127743155517334,-0.17044130819818137,-0.1494530134096639,2.892759429897392,-0.3688760952896191,-0.01289280965580358,-0.4438342909628958,-0.7218610530965036,2022.0
124,125,-0.8577069737232192,0.11683966802725836,-0.3803203579092172,-0.03993522651520979,0.1489714594762777,2.8342711734300394,-0.4290476899967411,-0.12114744666108293,-0.49189888645746027,-0.7800257196706449,2022.0
125,126,-0.9139323379817169,0.10788798321049684,-0.4235005908113533,0.19610268719831384,0.3490781857803616,2.749078227607637,-0.4567561339813636,-0.22536756518792297,-0.5484714214607607,-0.834119034373692,2022.0
