Minggu ke-,Beras Kualitas Medium I,Bawang Merah Ukuran Sedang,Bawang Putih Ukuran Sedang,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi Kualitas 1,Telur Ayam Ras Segar,Daging Ayam Ras Segar,Minyak Goreng Kemasan Bermerk 1,Gula Pasir Lokal
96,11700,25980,27340,45040,26450,133350,20620,34600,18320,12950
97,11700,25710,27310,50190,26940,133350,23860,34920,18750,12950
98,11700,24680,27270,48170,27740,133350,24610,34910,19100,12950
99,11700,22150,26210,47270,30630,133350,23250,35190,19400,12950
100,11700,23050,26070,47390,43470,133350,21680,35660,19840,12950
101,11700,23800,25730,46550,63310,133350,21200,36430,19900,12950
102,11700,27220,25800,47210,81460,133350,24590,36800,19900,12950
103,11700,27100,26220,42560,95820,133350,27620,37150,19900,12950
104,11970,27490,26710,43270,106000,133350,31560,38990,20200,12950
105,12000,27330,26760,38720,87680,133350,27350,38850,20200,12950
106,12000,26240,26760,27740,57210,133350,24910,39880,20300,12950
107,12000,26660,27390,33710,49200,133350,22360,40670,20450,12950
108,11950,28080,27580,33890,38840,133350,20850,39200,20450,13370
109,11950,32025,29163,31725,35488,133350,20088,36613,20450,13500
110,11950,38380,28620,36200,44030,133350,19910,36310,19930,13500
111,11950,38720,28650,38770,47230,133350,20010,35860,18350,13500
112,11910,38510,27990,44190,56010,133350,21870,35930,17500,13500
113,11900,39000,28550,45934,68200,139734,22334,37134,17500,13500
114,11900,37850,28530,51050,71440,140850,24710,37280,17220,13500
115,11900,35860,30350,49140,62400,137170,24400,37000,19150,13580
116,11900,32850,31580,47870,55220,139150,24750,37190,24500,13550
117,11900,32850,31580,47870,55220,139150,24750,37190,24500,13550
118,11900,32220,31870,46980,53910,145250,25600,38490,24590,13810
119,11900,34890,32270,49230,52270,144680,25460,40370,24750,13950
120,11900,33825,30575,36313,43088,143350,24263,39150,24750,13950
121,11900,35890,31120,32650,31800,144010,24060,39110,24750,14550
122,11900,43263,31363,46088,40113,151238,25988,41725,24750,14550
123,12925,36403,32763,45450,54895,135054,26215,37449,17904,15125
124,11900,43600,29980,34780,35550,147160,27500,40560,24750,14550
125,11800,46300,28700,40750,47438,142500,26975,37875,24750,14550
126,11700,48188,29213,51338,56800,142500,28025,36288,24750,14550
127,11700,47763,26925,62663,76975,142500,28650,38088,24650,14550
128,11700,55200,26120,73700,96720,142500,30210,41000,24350,14550
129,11700,57190,23730,86010,105850,142500,28780,39270,24170,14550
130,11700,62980,23910,90850,103770,142500,27260,38090,23750,14550
131,11700,65190,23780,91710,108820,142500,26990,38820,23650,14550
132,11700,73460,24440,100940,110690,144000,27340,39140,23150,14550
133,11700,70540,24750,113310,115090,142500,28470,40780,23100,14550
134,11700,55090,25610,88830,86030,142500,28150,38520,23100,14550
135,11690,42570,24780,79460,71510,142500,28060,38360,22170,14560
136,11700,41280,24950,71530,69630,142500,27570,37680,21280,14550
137,11780,38580,24920,69390,66040,142500,27570,36540,20650,14550
138,12200,35913,25338,69038,54413,142500,29913,36975,20500,14550
139,12200,34540,25870,64930,43200,142500,31300,38420,20500,14550
140,12200,33080,26310,67930,52420,142500,30470,36700,20500,14550
141,12250,36900,26430,81790,57070,142500,27860,37460,20500,14550
142,12390,35560,26440,71970,62510,142500,27290,37300,20500,14570
143,12450,33650,25630,65140,71360,142500,26090,36210,20500,14700
144,12450,33370,25210,59500,64380,142500,24900,35670,20500,14700
145,12450,34670,25470,59430,60650,142500,24020,36540,20100,14700
146,12450,34970,24860,61350,58710,142500,25930,36460,20000,14700
147,12450,34550,24720,45210,44600,142500,27120,35700,19490,14700
148,12450,34420,24720,45580,43810,142500,26860,34390,19400,14700
149,12450,34610,24430,41310,39340,142500,26850,35350,19400,14700
150,12450,33370,23530,35050,36840,142500,26570,35110,19400,14700
151,12450,34350,23730,34460,37320,142500,28170,35150,19400,14700
152,12450,33040,23720,34460,41240,142500,29080,36040,19400,14700
153,12500,34170,24010,36540,44540,142500,30980,35930,19400,14700
154,12850,33530,24530,38140,51480,142500,31190,35980,19400,14700
155,12850,34420,26090,39030,53440,142500,31700,37610,19400,14700
156,12850,34920,26080,37620,47270,142500,29740,38520,19400,14700
157,12850,34940,25140,38220,56750,142500,29240,39220,19400,14700
158,12850,37410,26000,46010,79170,142500,28310,38020,19400,14700
159,13060,38480,26380,48890,70900,142500,28040,36190,19400,14700
160,13200,42140,28820,42030,57730,142500,27840,36010,19400,14780
161,13200,44520,29220,44240,62550,142500,27910,35920,19400,14800
162,13200,49220,29510,47140,60600,142500,27220,35790,19400,14800
163,13270,47950,29390,47240,65620,142500,27290,36990,19400,14900
164,13550,42240,29270,49850,70790,142500,27570,36580,19400,14900
165,13550,38670,30120,50190,74210,142500,26990,36020,19400,14900
166,13550,36940,31040,46620,67910,142500,26560,35900,19400,14900
167,13550,37400,34590,40410,82870,142500,28960,36950,19400,14900
168,13550,38320,34920,42820,89040,144840,30050,37710,19400,14900
169,13550,36360,34300,40090,72010,144150,29850,36310,19400,14900
170,13550,36210,33520,37520,55350,144150,28640,36710,19400,14900
171,13550,36450,33470,34200,40330,142830,27520,36390,19400,14900
172,13550,42800,34570,47870,42950,149510,28300,38670,19400,14900
173,13550,45000,36340,38620,37520,147340,28140,40680,19400,14900
174,13550,47750,36113,29988,30375,142500,27800,38363,19400,14900
175,13550,46820,37610,34390,37600,141650,30030,37410,19400,14900
176,13550,46090,38690,32870,39730,141650,32520,38440,19400,14900
177,13550,45830,39100,31100,46080,141650,32500,40290,19400,14900
178,13550,45370,38980,30930,46850,141650,31760,40330,19400,14900
179,13550,45370,38790,31390,46960,141650,31660,41660,19400,14900
180,13550,44030,38960,30350,41250,141650,30880,41680,19400,14900
181,13550,43750,39490,30800,38580,141650,30350,42740,19400,14900
182,13550,43380,39540,40780,41580,141650,31500,45960,19400,14900
183,13670,41280,43550,36940,34420,141650,31500,44970,19400,14900
184,13700,32440,43680,34200,31830,141650,32190,43040,19400,14900
185,13700,30530,41820,34800,35130,141650,31680,41430,19400,14900
186,13700,30470,41550,34220,38190,141650,31860,40480,19460,14960
187,13700,30520,41300,37840,42190,141650,31650,38480,19500,15050
188,13740,30510,41270,38030,46590,141650,31410,39730,19500,15050
189,13900,30170,40640,39730,51400,141650,30350,41550,19500,15050
190,13930,27040,39990,46640,46770,141650,28640,40400,19110,14990
191,14050,25980,38770,48380,40480,141650,27260,39180,18550,14950
192,14110,25930,38320,36600,36070,141650,27230,39380,18350,14950
193,14350,24960,37750,35150,34770,141650,27160,38040,18350,15500
194,14350,24490,37600,37010,36330,141650,26800,37250,18350,15580
195,14350,24070,37630,42390,38790,141650,25910,38350,18350,15900
196,14470,24150,37650,43690,45340,141650,25810,38870,18350,15920
197,14650,23110,37180,42170,49450,141650,25970,39560,18350,16000
198,14650,22390,36940,44680,59270,141650,26060,37600,18350,16000
199,14650,22330,36910,49800,75110,141650,25850,37660,18350,16380
200,14650,26070,36570,70080,87290,141650,25900,37520,18350,16350
201,14650,30780,36470,78300,88640,141650,28200,37980,18350,16760
202,14650,33890,35520,78930,89170,141650,28150,38300,18350,17200
203,14650,34680,35750,91630,102660,141650,27550,37360,18350,17500
204,14650,34150,35750,86060,99290,141650,27970,36150,18350,17500
205,14650,35090,35920,98290,101960,141650,28110,38190,18350,17500
206,14650,33770,36760,86520,100750,141650,27350,37570,18350,17500
207,14650,39080,38890,63400,91680,137650,27350,37100,18350,17500
208,14650,44100,39834,62084,88850,136650,26784,37667,18350,17500
209,14650,43520,40140,75260,87550,136650,26340,37380,18350,17500
210,14650,35320,41130,70830,59200,136650,25750,36030,18350,17500
211,14650,31690,40810,68500,58710,136650,26190,37390,18350,17500
212,15000,31320,40150,73840,47250,136650,27320,36350,18350,17500
213,15350,30200,40150,63970,48350,136650,27000,37330,18350,17500
214,15850,31640,39090,72050,47850,136650,27770,38640,18350,17500
215,16120,34320,38800,80450,66540,136650,28260,39850,18350,17500
216,16650,34400,39260,91090,83730,136650,30000,37740,18350,17500
217,16850,35260,39650,78210,77140,136650,31330,39280,18350,17600
218,16650,34870,39650,73150,73170,136650,32000,41810,18350,18000
219,16350,35180,41360,78540,72930,140160,32210,41500,18440,18000
220,16350,35310,42310,51420,51620,138500,32350,40720,18500,18000
221,15980,37250,42100,37700,41900,137500,30630,40000,18500,18000
222,15850,48170,42300,40050,42020,138840,28070,40320,18500,18000
223,15850,51500,42250,42350,43400,140850,28000,42250,18500,18000
224,15570,64110,44230,38090,38890,141160,27780,41550,18500,18100
225,15100,68400,45480,44920,45620,138830,27470,39400,18500,18500
226,14860,60750,45790,59620,41810,138350,29500,37830,18500,18650
227,14650,52520,45850,51430,33080,138350,30070,40060,18500,18900
228,14650,53590,45170,45960,35640,138180,30350,40910,18500,18900
229,14650,51580,45850,44120,38370,137500,29480,39060,18500,18720
230,14850,48190,45850,54730,38390,137500,28680,38660,18500,18700
231,14850,43350,44970,51360,40160,137500,27950,37510,18620,18600
232,14850,42330,42810,58400,42370,137500,28050,39820,18650,18210
233,14850,41440,42710,59140,41830,137500,28690,40490,18650,18170
234,14850,36160,42250,38060,41540,137500,28000,38770,18650,18050
235,14950,33160,41810,42200,49430,137500,28000,39220,18650,17300
236,15350,30950,41150,45100,52670,137500,28560,39000,18650,17160
237,15350,28850,41090,41630,73710,137500,28150,38300,18650,16950
238,15350,27500,40850,45600,85170,137500,28000,36720,18650,16950
